Source,Target,Weight
"person:glenn maxwell","person:haris rauf",11
"organization:t20","organization:windies",1
"organization:t20","place:bangladesh",6
"organization:windies","place:bangladesh",1
"organization:windies","place:pakistan",1
"place:bangladesh","place:pakistan",22
"organization:aus","organization:icc t20",3
"organization:aus","person:david warner",3
"place:dainik bhaskar","place:pakistan",1
"person:ausvsa","person:h.ali",1
"person:ausvsa","person:h.gibbs",1
"person:ausvsa","person:s.waugh",1
"person:h.ali","person:h.gibbs",1
"person:h.ali","person:s.waugh",1
"person:h.gibbs","person:s.waugh",1
"person:babar azam","person:msdhoni",12
"person:babar azam","person:virat kohli",77
"person:msdhoni","person:virat kohli",12
"person:victor","place:pakistan",2
"person:hasan ali","person:saqlain mushtaq",1
"person:babar azam","place:dubai",7
"other:world cup","person:deewana mastana",3
"organization:pak","person:pak",21
"organization:pak team","person:pak",2
"organization:pak team","place:australia",2
"person:m hussey","person:m wade",1
"organization:pakistan","person:fielding",2
"organization:pakistan","person:pak",12
"organization:pakistan","person:shaheen",16
"person:babar","person:fielding",1
"person:babar","person:pak",9
"person:babar","person:shaheen",43
"person:fielding","person:pak",1
"person:fielding","person:shaheen",1
"person:pak","person:shaheen",11
"person:mr. verbal diahhrea","place:australia",1
"person:mr. verbal diahhrea","place:india",1
"person:hasan ali","person:shaheen",30
"person:hussey","person:stoinis",5
"person:hussey","person:wade",74
"person:champion hassan ali","person:shaheen",1
"person:islam","place:india",23
"person:islam","place:pakistan",107
"organization:t20 wc","person:umran malik",1
"organization:t20 wc","place:australia",7
"person:umran malik","place:australia",1
"person:mohammad shami","person:pakistanis",1
"person:mohammad shami","place:india",1
"person:pakistanis","place:india",23
"organization:new zealand","organization:t20",7
"organization:new zealand","place:new zealand",10
"organization:new zealand","place:pakistan",24
"place:odi","place:pakistan",2
"organization:petrol","person:beggar paxtan",1
"person:hasan ali","person:matthew wade",75
"other:lord","other:world cups",2
"other:lord","place:australia",2
"other:lord","place:lahore",2
"other:lord","place:pakistan",3
"other:world cups","place:australia",4
"other:world cups","place:lahore",2
"other:world cups","place:pakistan",2
"place:australia","place:lahore",19
"place:lahore","place:pakistan",50
"person:hassan ali","place:pakistan zindabad",19
"person:hassan","person:shahid afridi",1
"person:shaheen","person:shahid afridi",9
"other:t20 world cup semi final","person:wade",1
"other:t20 world cup semi final","place:australia",5
"other:t20 world cup semi final","place:pakistan",2
"person:sania mirza","place:pakistan",28
"person:babar backs","person:hasan",1
"person:babar backs","place:australia",1
"person:babar backs","place:dubai",1
"person:hasan","place:australia",8
"person:hasan","place:dubai",2
"person:afridi","person:shaheen",11
"place:england","place:india",35
"place:t20is","place:t20s",1
"organization:australia","person:glenn maxwell",6
"organization:australia","person:haris rauf",3
"person:glenn maxwell","place:pakistan",31
"person:haris rauf","place:pakistan",21
"organization:pakistani","person:matthew hayden",1
"organization:pakistani","place:australia",10
"organization:pakistani","place:pakistan",16
"person:matthew hayden","place:australia",31
"person:matthew hayden","place:pakistan",42
"person:hassan ali","person:pakistanis",36
"person:pakistanis","place:pakistan zindabad",1
"person:hasan ali","person:samiya arzoo",1
"person:gautam gambhir","person:mohammad hafeez",3
"person:gautam gambhir","person:warner",6
"person:mohammad hafeez","person:warner",6
"person:baluchistan","place:waziristan",1
"organization:twitter","person:hasan ali",9
"organization:australia","organization:ict",1
"person:rauf","person:rizi",1
"person:rauf","person:shadab",8
"person:rauf","person:shaheen",18
"person:rizi","person:shadab",1
"person:rizi","person:shaheen",1
"person:shadab","person:shaheen",44
"person:babar n co.","person:matt roller",1
"person:babar n co.","place:t20",1
"person:matt roller","place:t20",1
"person:sant rampal ji maharaj","product:youtube channel",1
"place:cricket australia","place:india",1
"place:cricket australia","place:newzealand",1
"place:india","place:newzealand",15
"organization:pakistan cricket","place:pakistan",32
"person:fakar","person:mitchell starc",1
"other:world cup","place:pakistan tours",5
"place:pakistan","place:pakistan tours",5
"other:t20 world cup","place:afghanistan",3
"place:afghanistan","place:pakistan",31
"organization:england","organization:le new zealand",1
"organization:england","organization:pakistani",1
"organization:le new zealand","organization:pakistani",1
"organization:le new zealand","place:australia",1
"person:imran khan","place:india",2
"other:t20 world cup","person:shaheen afridi",7
"person:matthew wade","person:shaheen afridi",123
"person:matthew wade","person:wade",37
"person:pm imran khan","place:australia",2
"person:mohammad hafeez","place:pakistan",3
"person:david warner","place:pakistan",59
"person:hasan ali","person:hasan ali 🇮🇳",1
"other:t20 semi finals","person:hayden",1
"other:t20 semi finals","person:justin langer",1
"person:hayden","person:justin langer",2
"organization:icc men","other:t20 world cup",9
"organization:icc men","person:mohammad rizwan",2
"organization:icc men","place:australia",12
"organization:icc men","place:pakistan",12
"person:ian bishop","person:matthew wade",4
"organization:australia","other:t20 world cup 2021 final",1
"organization:australia","person:david warner",16
"organization:australia","person:steve smith",2
